Time (s),Filtered Voltage (V)
0.0,0.00012643785661304723
0.0,0.0006402313031130749
0.0,0.0009027396709149122
0.0,0.0008453075241316016
0.0,0.0006062201901715838
0.0,0.00040147592067966476
0.0,0.00035474716005290396
0.0,0.0004332388428315104
0.0,0.000524238845518379
0.0,0.0005516695729018579
0.0,0.0005221264256391737
0.0,0.0004875304313397232
0.0,0.0004861568300567972
0.0,0.0005195922134585099
0.0,0.0005728471699505308
0.0,0.0006383140804110253
0.0,0.0007086032419065263
0.0,0.0007561648424263946
0.0,0.0007427578554849347
0.0,0.0006573334693972218
0.0,0.0005344959511152225
0.0,0.0004273895243703627
0.0,0.0003655332580265769
0.0,0.00034394723514550446
0.0,0.00035056243406596645
0.0,0.00039405351820412355
0.0,0.0004926778155176111
0.0,0.0006308108910900349
0.0,0.000737402107788214
0.0,0.0007289619939520704
0.0,0.0005887258806328702
0.0,0.00040246850620569385
0.0,0.0003050099578274899
0.0,0.0003760902642234483
0.0,0.0005726474334588078
0.0,0.0007550237082235914
0.0,0.0007888782752829169
0.0,0.0006457658722314498
0.0,0.0004258114890557817
0.0,0.00028108175358900183
0.0,0.00029382890656647846
0.0,0.00041095150658787956
0.0,0.0004984252809065546
0.0,0.00046526137441629107
0.0021581649780273438,0.0003341286063055787
0.0021581649780273438,0.00019985469466691396
0.0021581649780273438,0.00014018931569727893
0.0021581649780273438,0.00017254635809211706
0.0021581649780273438,0.00027130006678470616
0.0021581649780273438,0.0003972640160396608
0.0021581649780273438,0.0005118814699497801
0.0021581649780273438,0.0005890983448435655
0.0021581649780273438,0.0006307085173092276
0.0021581649780273438,0.0006637371385571536
0.0021581649780273438,0.0007082271210790031
0.0021581649780273438,0.000742192978980425
0.0021581649780273438,0.0007043076068357548
0.0021581649780273438,0.0005448997680319456
0.0021581649780273438,0.00028899801057026797
0.0021581649780273438,5.0281854836989764e-05
0.0021581649780273438,-3.667061707508423e-05
0.0021581649780273438,7.690622773151955e-05
0.0021581649780273438,0.00030355978362393865
0.0021581649780273438,0.00048015239435405166
0.0021581649780273438,0.0004897941504100013
0.0021581649780273438,0.00033967169075109244
0.0021581649780273438,0.00013837814225969898
0.0021581649780273438,5.9240484920462985e-06
0.0021581649780273438,-8.907837163257192e-06
0.0021581649780273438,5.0835435528390544e-05
0.0021581649780273438,9.680358254419683e-05
0.0021581649780273438,6.77133893253073e-05
0.0021581649780273438,-2.4278294790838513e-05
0.0021581649780273438,-0.00010102367734794772
0.0021581649780273438,-7.771760191401379e-05
0.0021581649780273438,6.31127287401995e-05
0.0021581649780273438,0.00024914627984095174
0.0021581649780273438,0.00037860128940208016
0.0021581649780273438,0.00040511964750255343
0.0021581649780273438,0.00035880947509304105
0.0021581649780273438,0.00029489789716160674
0.0021581649780273438,0.00024311336558916662
0.0021581649780273438,0.00020831029632735696
0.0021581649780273438,0.0001983395906867834
0.0021581649780273438,0.00023300440574245608
0.0021581649780273438,0.0003198318533288078
0.0021581649780273438,0.0004205738358164955
0.0021581649780273438,0.00045466343109243563
0.0021581649780273438,0.0003627872308982613
